municipality,parent_name,point_index,group_id,group_title,score
"""Мосрентген""",Новомосковский,17,safety_economic_stability,Безопасность и экономическая стабильность района,90.530000
"""Мосрентген""",Новомосковский,18,transport_accessibility,Транспортная доступность,92.710000
"""Мосрентген""",Новомосковский,18,social_infrastructure,Социальная инфраструктура,59.390000
"""Мосрентген""",Новомосковский,18,commercial_household,Коммерческая и бытовая инфраструктура,78.210000
"""Мосрентген""",Новомосковский,18,recreation_environment,Рекреация и экологическая комфортность,62.540000
"""Мосрентген""",Новомосковский,18,safety_economic_stability,Безопасность и экономическая стабильность района,64.460000
"""Мосрентген""",Новомосковский,19,transport_accessibility,Транспортная доступность,89.460000
"""Мосрентген""",Новомосковский,19,social_infrastructure,Социальная инфраструктура,67.570000
"""Мосрентген""",Новомосковский,19,commercial_household,Коммерческая и бытовая инфраструктура,44.220000
"""Мосрентген""",Новомосковский,19,recreation_environment,Рекреация и экологическая комфортность,65.210000
"""Мосрентген""",Новомосковский,19,safety_economic_stability,Безопасность и экономическая стабильность района,68.950000
"""Мосрентген""",Новомосковский,20,transport_accessibility,Транспортная доступность,73.180000
"""Мосрентген""",Новомосковский,20,social_infrastructure,Социальная инфраструктура,75.120000
"""Мосрентген""",Новомосковский,20,commercial_household,Коммерческая и бытовая инфраструктура,65.930000
"""Мосрентген""",Новомосковский,20,recreation_environment,Рекреация и экологическая комфортность,59.570000
"""Мосрентген""",Новомосковский,20,safety_economic_stability,Безопасность и экономическая стабильность района,80.340000
Академический,Юго-Западный,1,transport_accessibility,Транспортная доступность,100.000000
Академический,Юго-Западный,1,social_infrastructure,Социальная инфраструктура,81.770000
Академический,Юго-Западный,1,commercial_household,Коммерческая и бытовая инфраструктура,94.060000
Академический,Юго-Западный,1,recreation_environment,Рекреация и экологическая комфортность,65.090000
Академический,Юго-Западный,1,safety_economic_stability,Безопасность и экономическая стабильность района,85.770000
Академический,Юго-Западный,2,transport_accessibility,Транспортная доступность,95.590000
Академический,Юго-Западный,2,social_infrastructure,Социальная инфраструктура,84.560000
Академический,Юго-Западный,2,commercial_household,Коммерческая и бытовая инфраструктура,93.380000
Академический,Юго-Западный,2,recreation_environment,Рекреация и экологическая комфортность,68.740000
Академический,Юго-Западный,2,safety_economic_stability,Безопасность и экономическая стабильность района,83.520000
Академический,Юго-Западный,3,transport_accessibility,Транспортная доступность,93.570000
Академический,Юго-Западный,3,social_infrastructure,Социальная инфраструктура,86.070000
Академический,Юго-Западный,3,commercial_household,Коммерческая и бытовая инфраструктура,92.740000
Академический,Юго-Западный,3,recreation_environment,Рекреация и экологическая комфортность,71.330000
Академический,Юго-Западный,3,safety_economic_stability,Безопасность и экономическая стабильность района,75.850000
Академический,Юго-Западный,4,transport_accessibility,Транспортная доступность,97.510000
Академический,Юго-Западный,4,social_infrastructure,Социальная инфраструктура,86.480000
Академический,Юго-Западный,4,commercial_household,Коммерческая и бытовая инфраструктура,100.000000
Академический,Юго-Западный,4,recreation_environment,Рекреация и экологическая комфортность,56.930000
Академический,Юго-Западный,4,safety_economic_stability,Безопасность и экономическая стабильность района,84.430000
Академический,Юго-Западный,5,transport_accessibility,Транспортная доступность,100.000000
Академический,Юго-Западный,5,social_infrastructure,Социальная инфраструктура,85.290000
Академический,Юго-Западный,5,commercial_household,Коммерческая и бытовая инфраструктура,99.610000
Академический,Юго-Западный,5,recreation_environment,Рекреация и экологическая комфортность,65.080000
Академический,Юго-Западный,5,safety_economic_stability,Безопасность и экономическая стабильность района,84.320000
Академический,Юго-Западный,6,transport_accessibility,Транспортная доступность,98.350000
Академический,Юго-Западный,6,social_infrastructure,Социальная инфраструктура,85.210000
Академический,Юго-Западный,6,commercial_household,Коммерческая и бытовая инфраструктура,93.750000
Академический,Юго-Западный,6,recreation_environment,Рекреация и экологическая комфортность,67.810000
Академический,Юго-Западный,6,safety_economic_stability,Безопасность и экономическая стабильность района,83.820000
Академический,Юго-Западный,7,transport_accessibility,Транспортная доступность,96.150000
Академический,Юго-Западный,7,social_infrastructure,Социальная инфраструктура,92.070000
Академический,Юго-Западный,7,commercial_household,Коммерческая и бытовая инфраструктура,94.260000
Академический,Юго-Западный,7,recreation_environment,Рекреация и экологическая комфортность,72.640000
Академический,Юго-Западный,7,safety_economic_stability,Безопасность и экономическая стабильность района,78.540000
Академический,Юго-Западный,8,transport_accessibility,Транспортная доступность,100.000000
Академический,Юго-Западный,8,social_infrastructure,Социальная инфраструктура,89.410000
Академический,Юго-Западный,8,commercial_household,Коммерческая и бытовая инфраструктура,93.640000
Академический,Юго-Западный,8,recreation_environment,Рекреация и экологическая комфортность,62.030000
Академический,Юго-Западный,8,safety_economic_stability,Безопасность и экономическая стабильность района,83.320000
Академический,Юго-Западный,9,transport_accessibility,Транспортная доступность,100.000000
Академический,Юго-Западный,9,social_infrastructure,Социальная инфраструктура,92.990000
Академический,Юго-Западный,9,commercial_household,Коммерческая и бытовая инфраструктура,93.950000
Академический,Юго-Западный,9,recreation_environment,Рекреация и экологическая комфортность,68.100000
Академический,Юго-Западный,9,safety_economic_stability,Безопасность и экономическая стабильность района,80.510000
Академический,Юго-Западный,10,transport_accessibility,Транспортная доступность,97.900000
Академический,Юго-Западный,10,social_infrastructure,Социальная инфраструктура,92.930000
Академический,Юго-Западный,10,commercial_household,Коммерческая и бытовая инфраструктура,99.750000
