municipality,parent_name,point_index,profile,profile_title,profile_weight,score
Академический,Юго-Западный,9,working_adults,Работающие взрослые,0.200000,90.090000
Академический,Юго-Западный,9,pensioners,Пенсионеры,0.200000,88.580000
Академический,Юго-Западный,9,limited_mobility,Маломобильные группы,0.200000,90.730000
Академический,Юго-Западный,10,families_with_children,Семьи с детьми,0.200000,89.430000
Академический,Юго-Западный,10,youth,Молодёжь,0.200000,89.080000
Академический,Юго-Западный,10,working_adults,Работающие взрослые,0.200000,90.840000
Академический,Юго-Западный,10,pensioners,Пенсионеры,0.200000,88.920000
Академический,Юго-Западный,10,limited_mobility,Маломобильные группы,0.200000,90.850000
Академический,Юго-Западный,11,families_with_children,Семьи с детьми,0.200000,87.730000
Академический,Юго-Западный,11,youth,Молодёжь,0.200000,87.460000
Академический,Юго-Западный,11,working_adults,Работающие взрослые,0.200000,89.270000
Академический,Юго-Западный,11,pensioners,Пенсионеры,0.200000,87.300000
Академический,Юго-Западный,11,limited_mobility,Маломобильные группы,0.200000,89.510000
Академический,Юго-Западный,12,families_with_children,Семьи с детьми,0.200000,87.610000
Академический,Юго-Западный,12,youth,Молодёжь,0.200000,87.220000
Академический,Юго-Западный,12,working_adults,Работающие взрослые,0.200000,89.190000
Академический,Юго-Западный,12,pensioners,Пенсионеры,0.200000,86.900000
Академический,Юго-Западный,12,limited_mobility,Маломобильные группы,0.200000,89.330000
Академический,Юго-Западный,13,families_with_children,Семьи с детьми,0.200000,86.590000
Академический,Юго-Западный,13,youth,Молодёжь,0.200000,84.330000
Академический,Юго-Западный,13,working_adults,Работающие взрослые,0.200000,88.330000
Академический,Юго-Западный,13,pensioners,Пенсионеры,0.200000,86.500000
Академический,Юго-Западный,13,limited_mobility,Маломобильные группы,0.200000,88.890000
Академический,Юго-Западный,14,families_with_children,Семьи с детьми,0.200000,87.070000
Академический,Юго-Западный,14,youth,Молодёжь,0.200000,85.570000
Академический,Юго-Западный,14,working_adults,Работающие взрослые,0.200000,89.050000
Академический,Юго-Западный,14,pensioners,Пенсионеры,0.200000,86.660000
Академический,Юго-Западный,14,limited_mobility,Маломобильные группы,0.200000,88.770000
Академический,Юго-Западный,15,families_with_children,Семьи с детьми,0.200000,87.480000
Академический,Юго-Западный,15,youth,Молодёжь,0.200000,86.280000
Академический,Юго-Западный,15,working_adults,Работающие взрослые,0.200000,89.700000
Академический,Юго-Западный,15,pensioners,Пенсионеры,0.200000,86.670000
Академический,Юго-Западный,15,limited_mobility,Маломобильные группы,0.200000,89.180000
Академический,Юго-Западный,16,families_with_children,Семьи с детьми,0.200000,84.660000
Академический,Юго-Западный,16,youth,Молодёжь,0.200000,83.880000
Академический,Юго-Западный,16,working_adults,Работающие взрослые,0.200000,85.930000
Академический,Юго-Западный,16,pensioners,Пенсионеры,0.200000,83.210000
Академический,Юго-Западный,16,limited_mobility,Маломобильные группы,0.200000,85.580000
Академический,Юго-Западный,17,families_with_children,Семьи с детьми,0.200000,84.970000
Академический,Юго-Западный,17,youth,Молодёжь,0.200000,81.530000
Академический,Юго-Западный,17,working_adults,Работающие взрослые,0.200000,86.140000
Академический,Юго-Западный,17,pensioners,Пенсионеры,0.200000,83.660000
Академический,Юго-Западный,17,limited_mobility,Маломобильные группы,0.200000,86.120000
Академический,Юго-Западный,18,families_with_children,Семьи с детьми,0.200000,79.920000
Академический,Юго-Западный,18,youth,Молодёжь,0.200000,76.910000
Академический,Юго-Западный,18,working_adults,Работающие взрослые,0.200000,81.260000
Академический,Юго-Западный,18,pensioners,Пенсионеры,0.200000,79.990000
Академический,Юго-Западный,18,limited_mobility,Маломобильные группы,0.200000,80.970000
Академический,Юго-Западный,19,families_with_children,Семьи с детьми,0.200000,84.920000
Академический,Юго-Западный,19,youth,Молодёжь,0.200000,81.880000
Академический,Юго-Западный,19,working_adults,Работающие взрослые,0.200000,87.080000
Академический,Юго-Западный,19,pensioners,Пенсионеры,0.200000,82.960000
Академический,Юго-Западный,19,limited_mobility,Маломобильные группы,0.200000,86.440000
Академический,Юго-Западный,20,families_with_children,Семьи с детьми,0.200000,84.080000
Академический,Юго-Западный,20,youth,Молодёжь,0.200000,81.770000
Академический,Юго-Западный,20,working_adults,Работающие взрослые,0.200000,86.100000
Академический,Юго-Западный,20,pensioners,Пенсионеры,0.200000,82.300000
Академический,Юго-Западный,20,limited_mobility,Маломобильные группы,0.200000,85.620000
Академический,Юго-Западный,21,families_with_children,Семьи с детьми,0.200000,84.130000
Академический,Юго-Западный,21,youth,Молодёжь,0.200000,82.420000
Академический,Юго-Западный,21,working_adults,Работающие взрослые,0.200000,87.050000
Академический,Юго-Западный,21,pensioners,Пенсионеры,0.200000,81.750000
Академический,Юго-Западный,21,limited_mobility,Маломобильные группы,0.200000,85.650000
Алексеевский,Северо-Восточный,1,families_with_children,Семьи с детьми,0.200000,81.300000
Алексеевский,Северо-Восточный,1,youth,Молодёжь,0.200000,84.190000
Алексеевский,Северо-Восточный,1,working_adults,Работающие взрослые,0.200000,84.130000
Алексеевский,Северо-Восточный,1,pensioners,Пенсионеры,0.200000,80.410000
Алексеевский,Северо-Восточный,1,limited_mobility,Маломобильные группы,0.200000,83.220000
Алексеевский,Северо-Восточный,2,families_with_children,Семьи с детьми,0.200000,81.020000
Алексеевский,Северо-Восточный,2,youth,Молодёжь,0.200000,81.420000
Алексеевский,Северо-Восточный,2,working_adults,Работающие взрослые,0.200000,83.980000
Алексеевский,Северо-Восточный,2,pensioners,Пенсионеры,0.200000,79.360000
Алексеевский,Северо-Восточный,2,limited_mobility,Маломобильные группы,0.200000,83.120000
Алексеевский,Северо-Восточный,3,families_with_children,Семьи с детьми,0.200000,78.830000
Алексеевский,Северо-Восточный,3,youth,Молодёжь,0.200000,77.260000
Алексеевский,Северо-Восточный,3,working_adults,Работающие взрослые,0.200000,79.580000
Алексеевский,Северо-Восточный,3,pensioners,Пенсионеры,0.200000,76.170000
Алексеевский,Северо-Восточный,3,limited_mobility,Маломобильные группы,0.200000,79.380000
Алексеевский,Северо-Восточный,4,families_with_children,Семьи с детьми,0.200000,84.280000
Алексеевский,Северо-Восточный,4,youth,Молодёжь,0.200000,80.870000
Алексеевский,Северо-Восточный,4,working_adults,Работающие взрослые,0.200000,85.770000
Алексеевский,Северо-Восточный,4,pensioners,Пенсионеры,0.200000,81.660000
Алексеевский,Северо-Восточный,4,limited_mobility,Маломобильные группы,0.200000,85.330000
Алексеевский,Северо-Восточный,5,families_with_children,Семьи с детьми,0.200000,78.710000
Алексеевский,Северо-Восточный,5,youth,Молодёжь,0.200000,76.080000
Алексеевский,Северо-Восточный,5,working_adults,Работающие взрослые,0.200000,79.210000
Алексеевский,Северо-Восточный,5,pensioners,Пенсионеры,0.200000,76.890000
Алексеевский,Северо-Восточный,5,limited_mobility,Маломобильные группы,0.200000,79.240000
Алексеевский,Северо-Восточный,6,families_with_children,Семьи с детьми,0.200000,83.000000
Алексеевский,Северо-Восточный,6,youth,Молодёжь,0.200000,80.840000
Алексеевский,Северо-Восточный,6,working_adults,Работающие взрослые,0.200000,85.030000
Алексеевский,Северо-Восточный,6,pensioners,Пенсионеры,0.200000,80.630000
Алексеевский,Северо-Восточный,6,limited_mobility,Маломобильные группы,0.200000,84.180000
Алексеевский,Северо-Восточный,7,families_with_children,Семьи с детьми,0.200000,84.740000
Алексеевский,Северо-Восточный,7,youth,Молодёжь,0.200000,82.450000
Алексеевский,Северо-Восточный,7,working_adults,Работающие взрослые,0.200000,85.390000
Алексеевский,Северо-Восточный,7,pensioners,Пенсионеры,0.200000,81.760000
Алексеевский,Северо-Восточный,7,limited_mobility,Маломобильные группы,0.200000,84.660000
Алексеевский,Северо-Восточный,8,families_with_children,Семьи с детьми,0.200000,83.950000
Алексеевский,Северо-Восточный,8,youth,Молодёжь,0.200000,82.880000
Алексеевский,Северо-Восточный,8,working_adults,Работающие взрослые,0.200000,85.600000
Алексеевский,Северо-Восточный,8,pensioners,Пенсионеры,0.200000,81.390000
Алексеевский,Северо-Восточный,8,limited_mobility,Маломобильные группы,0.200000,84.610000
Алексеевский,Северо-Восточный,9,families_with_children,Семьи с детьми,0.200000,85.370000
Алексеевский,Северо-Восточный,9,youth,Молодёжь,0.200000,84.460000
Алексеевский,Северо-Восточный,9,working_adults,Работающие взрослые,0.200000,86.440000
Алексеевский,Северо-Восточный,9,pensioners,Пенсионеры,0.200000,83.720000
Алексеевский,Северо-Восточный,9,limited_mobility,Маломобильные группы,0.200000,86.080000
Алексеевский,Северо-Восточный,10,families_with_children,Семьи с детьми,0.200000,85.170000
Алексеевский,Северо-Восточный,10,youth,Молодёжь,0.200000,84.080000
Алексеевский,Северо-Восточный,10,working_adults,Работающие взрослые,0.200000,84.450000
Алексеевский,Северо-Восточный,10,pensioners,Пенсионеры,0.200000,83.040000
Алексеевский,Северо-Восточный,10,limited_mobility,Маломобильные группы,0.200000,84.060000
Алексеевский,Северо-Восточный,11,families_with_children,Семьи с детьми,0.200000,86.860000
Алексеевский,Северо-Восточный,11,youth,Молодёжь,0.200000,86.710000
Алексеевский,Северо-Восточный,11,working_adults,Работающие взрослые,0.200000,88.020000
Алексеевский,Северо-Восточный,11,pensioners,Пенсионеры,0.200000,84.040000
Алексеевский,Северо-Восточный,11,limited_mobility,Маломобильные группы,0.200000,87.360000
Алексеевский,Северо-Восточный,12,families_with_children,Семьи с детьми,0.200000,86.030000
Алексеевский,Северо-Восточный,12,youth,Молодёжь,0.200000,85.890000
Алексеевский,Северо-Восточный,12,working_adults,Работающие взрослые,0.200000,87.850000
Алексеевский,Северо-Восточный,12,pensioners,Пенсионеры,0.200000,84.210000
Алексеевский,Северо-Восточный,12,limited_mobility,Маломобильные группы,0.200000,87.360000
Алексеевский,Северо-Восточный,13,families_with_children,Семьи с детьми,0.200000,84.050000
Алексеевский,Северо-Восточный,13,youth,Молодёжь,0.200000,84.850000
Алексеевский,Северо-Восточный,13,working_adults,Работающие взрослые,0.200000,84.380000
Алексеевский,Северо-Восточный,13,pensioners,Пенсионеры,0.200000,83.410000
Алексеевский,Северо-Восточный,13,limited_mobility,Маломобильные группы,0.200000,84.150000
Алексеевский,Северо-Восточный,14,families_with_children,Семьи с детьми,0.200000,80.670000
Алексеевский,Северо-Восточный,14,youth,Молодёжь,0.200000,81.160000
Алексеевский,Северо-Восточный,14,working_adults,Работающие взрослые,0.200000,80.160000
Алексеевский,Северо-Восточный,14,pensioners,Пенсионеры,0.200000,79.590000
Алексеевский,Северо-Восточный,14,limited_mobility,Маломобильные группы,0.200000,79.850000
Алексеевский,Северо-Восточный,15,families_with_children,Семьи с детьми,0.200000,87.250000
Алексеевский,Северо-Восточный,15,youth,Молодёжь,0.200000,88.910000
Алексеевский,Северо-Восточный,15,working_adults,Работающие взрослые,0.200000,89.140000
Алексеевский,Северо-Восточный,15,pensioners,Пенсионеры,0.200000,85.460000
Алексеевский,Северо-Восточный,15,limited_mobility,Маломобильные группы,0.200000,88.600000
Алексеевский,Северо-Восточный,16,families_with_children,Семьи с детьми,0.200000,84.230000
Алексеевский,Северо-Восточный,16,youth,Молодёжь,0.200000,83.750000
Алексеевский,Северо-Восточный,16,working_adults,Работающие взрослые,0.200000,85.380000
Алексеевский,Северо-Восточный,16,pensioners,Пенсионеры,0.200000,82.550000
Алексеевский,Северо-Восточный,16,limited_mobility,Маломобильные группы,0.200000,85.300000
Алексеевский,Северо-Восточный,17,families_with_children,Семьи с детьми,0.200000,79.400000
Алексеевский,Северо-Восточный,17,youth,Молодёжь,0.200000,78.130000
Алексеевский,Северо-Восточный,17,working_adults,Работающие взрослые,0.200000,77.850000
Алексеевский,Северо-Восточный,17,pensioners,Пенсионеры,0.200000,77.780000
Алексеевский,Северо-Восточный,17,limited_mobility,Маломобильные группы,0.200000,77.630000
Алексеевский,Северо-Восточный,18,families_with_children,Семьи с детьми,0.200000,87.860000
Алексеевский,Северо-Восточный,18,youth,Молодёжь,0.200000,88.180000
Алексеевский,Северо-Восточный,18,working_adults,Работающие взрослые,0.200000,88.120000
Алексеевский,Северо-Восточный,18,pensioners,Пенсионеры,0.200000,85.450000
Алексеевский,Северо-Восточный,18,limited_mobility,Маломобильные группы,0.200000,88.140000
Алексеевский,Северо-Восточный,19,families_with_children,Семьи с детьми,0.200000,85.560000
Алексеевский,Северо-Восточный,19,youth,Молодёжь,0.200000,84.250000
Алексеевский,Северо-Восточный,19,working_adults,Работающие взрослые,0.200000,85.000000
Алексеевский,Северо-Восточный,19,pensioners,Пенсионеры,0.200000,83.410000
Алексеевский,Северо-Восточный,19,limited_mobility,Маломобильные группы,0.200000,85.200000
Алексеевский,Северо-Восточный,20,families_with_children,Семьи с детьми,0.200000,79.840000
Алексеевский,Северо-Восточный,20,youth,Молодёжь,0.200000,76.070000
Алексеевский,Северо-Восточный,20,working_adults,Работающие взрослые,0.200000,78.790000
Алексеевский,Северо-Восточный,20,pensioners,Пенсионеры,0.200000,78.390000
Алексеевский,Северо-Восточный,20,limited_mobility,Маломобильные группы,0.200000,79.060000
Алексеевский,Северо-Восточный,21,families_with_children,Семьи с детьми,0.200000,85.100000
Алексеевский,Северо-Восточный,21,youth,Молодёжь,0.200000,83.300000
Алексеевский,Северо-Восточный,21,working_adults,Работающие взрослые,0.200000,83.480000
Алексеевский,Северо-Восточный,21,pensioners,Пенсионеры,0.200000,83.140000
Алексеевский,Северо-Восточный,21,limited_mobility,Маломобильные группы,0.200000,84.040000
Алтуфьевский,Северо-Восточный,1,families_with_children,Семьи с детьми,0.200000,78.240000
Алтуфьевский,Северо-Восточный,1,youth,Молодёжь,0.200000,80.510000
Алтуфьевский,Северо-Восточный,1,working_adults,Работающие взрослые,0.200000,84.710000
Алтуфьевский,Северо-Восточный,1,pensioners,Пенсионеры,0.200000,83.070000
Алтуфьевский,Северо-Восточный,1,limited_mobility,Маломобильные группы,0.200000,85.380000
Алтуфьевский,Северо-Восточный,2,families_with_children,Семьи с детьми,0.200000,81.040000
Алтуфьевский,Северо-Восточный,2,youth,Молодёжь,0.200000,82.040000
Алтуфьевский,Северо-Восточный,2,working_adults,Работающие взрослые,0.200000,86.360000
Алтуфьевский,Северо-Восточный,2,pensioners,Пенсионеры,0.200000,84.360000
Алтуфьевский,Северо-Восточный,2,limited_mobility,Маломобильные группы,0.200000,86.400000
Алтуфьевский,Северо-Восточный,3,families_with_children,Семьи с детьми,0.200000,78.670000
Алтуфьевский,Северо-Восточный,3,youth,Молодёжь,0.200000,75.960000
Алтуфьевский,Северо-Восточный,3,working_adults,Работающие взрослые,0.200000,83.080000
Алтуфьевский,Северо-Восточный,3,pensioners,Пенсионеры,0.200000,82.150000
Алтуфьевский,Северо-Восточный,3,limited_mobility,Маломобильные группы,0.200000,84.470000
Алтуфьевский,Северо-Восточный,4,families_with_children,Семьи с детьми,0.200000,79.200000
Алтуфьевский,Северо-Восточный,4,youth,Молодёжь,0.200000,76.610000
Алтуфьевский,Северо-Восточный,4,working_adults,Работающие взрослые,0.200000,83.210000
Алтуфьевский,Северо-Восточный,4,pensioners,Пенсионеры,0.200000,82.290000
Алтуфьевский,Северо-Восточный,4,limited_mobility,Маломобильные группы,0.200000,84.050000
