municipality,parent_name,point_index,group_id,group_title,section_id,section_title,score
"""Мосрентген""",Новомосковский,5,recreation_environment,Рекреация и экологическая комфортность,natural_recreation_potential,Природно-рекреационный потенциал,74.880000
"""Мосрентген""",Новомосковский,5,recreation_environment,Рекреация и экологическая комфортность,cultural_leisure_infrastructure,Культурно-досуговая инфраструктура,35.490000
"""Мосрентген""",Новомосковский,5,safety_economic_stability,Безопасность и экономическая стабильность района,emergency_services,Доступность экстренных служб,88.440000
"""Мосрентген""",Новомосковский,5,safety_economic_stability,Безопасность и экономическая стабильность района,district_economy,Экономическая среда района,
"""Мосрентген""",Новомосковский,6,transport_accessibility,Транспортная доступность,public_transport_accessibility,Доступность общественного транспорта,72.610000
"""Мосрентген""",Новомосковский,6,transport_accessibility,Транспортная доступность,personal_vehicle_accessibility,Доступность для личного транспорта,80.950000
"""Мосрентген""",Новомосковский,6,social_infrastructure,Социальная инфраструктура,child_social_infrastructure,Детская социальная инфраструктура,56.160000
"""Мосрентген""",Новомосковский,6,social_infrastructure,Социальная инфраструктура,government_institutions_accessibility,Доступность государственных учреждений,83.430000
"""Мосрентген""",Новомосковский,6,social_infrastructure,Социальная инфраструктура,adult_medical_facilities_accessibility,Доступность медицинских учреждений для взрослых,73.250000
"""Мосрентген""",Новомосковский,6,commercial_household,Коммерческая и бытовая инфраструктура,essential_stores,Обеспеченность магазинами первой необходимости,94.150000
"""Мосрентген""",Новомосковский,6,commercial_household,Коммерческая и бытовая инфраструктура,household_infrastructure_accessibility,Доступность бытовой инфраструктуры,78.680000
"""Мосрентген""",Новомосковский,6,recreation_environment,Рекреация и экологическая комфортность,environmental_conditions,Экологическая обстановка,60.500000
"""Мосрентген""",Новомосковский,6,recreation_environment,Рекреация и экологическая комфортность,natural_recreation_potential,Природно-рекреационный потенциал,63.830000
"""Мосрентген""",Новомосковский,6,recreation_environment,Рекреация и экологическая комфортность,cultural_leisure_infrastructure,Культурно-досуговая инфраструктура,57.520000
"""Мосрентген""",Новомосковский,6,safety_economic_stability,Безопасность и экономическая стабильность района,emergency_services,Доступность экстренных служб,97.120000
"""Мосрентген""",Новомосковский,6,safety_economic_stability,Безопасность и экономическая стабильность района,district_economy,Экономическая среда района,
"""Мосрентген""",Новомосковский,7,transport_accessibility,Транспортная доступность,public_transport_accessibility,Доступность общественного транспорта,69.870000
"""Мосрентген""",Новомосковский,7,transport_accessibility,Транспортная доступность,personal_vehicle_accessibility,Доступность для личного транспорта,82.260000
"""Мосрентген""",Новомосковский,7,social_infrastructure,Социальная инфраструктура,child_social_infrastructure,Детская социальная инфраструктура,60.200000
"""Мосрентген""",Новомосковский,7,social_infrastructure,Социальная инфраструктура,government_institutions_accessibility,Доступность государственных учреждений,64.290000
"""Мосрентген""",Новомосковский,7,social_infrastructure,Социальная инфраструктура,adult_medical_facilities_accessibility,Доступность медицинских учреждений для взрослых,56.890000
"""Мосрентген""",Новомосковский,7,commercial_household,Коммерческая и бытовая инфраструктура,essential_stores,Обеспеченность магазинами первой необходимости,74.510000
"""Мосрентген""",Новомосковский,7,commercial_household,Коммерческая и бытовая инфраструктура,household_infrastructure_accessibility,Доступность бытовой инфраструктуры,23.010000
"""Мосрентген""",Новомосковский,7,recreation_environment,Рекреация и экологическая комфортность,environmental_conditions,Экологическая обстановка,45.310000
"""Мосрентген""",Новомосковский,7,recreation_environment,Рекреация и экологическая комфортность,natural_recreation_potential,Природно-рекреационный потенциал,81.010000
"""Мосрентген""",Новомосковский,7,recreation_environment,Рекреация и экологическая комфортность,cultural_leisure_infrastructure,Культурно-досуговая инфраструктура,43.050000
"""Мосрентген""",Новомосковский,7,safety_economic_stability,Безопасность и экономическая стабильность района,emergency_services,Доступность экстренных служб,92.890000
"""Мосрентген""",Новомосковский,7,safety_economic_stability,Безопасность и экономическая стабильность района,district_economy,Экономическая среда района,
"""Мосрентген""",Новомосковский,8,transport_accessibility,Транспортная доступность,public_transport_accessibility,Доступность общественного транспорта,84.050000
"""Мосрентген""",Новомосковский,8,transport_accessibility,Транспортная доступность,personal_vehicle_accessibility,Доступность для личного транспорта,81.470000
"""Мосрентген""",Новомосковский,8,social_infrastructure,Социальная инфраструктура,child_social_infrastructure,Детская социальная инфраструктура,65.160000
"""Мосрентген""",Новомосковский,8,social_infrastructure,Социальная инфраструктура,government_institutions_accessibility,Доступность государственных учреждений,70.510000
"""Мосрентген""",Новомосковский,8,social_infrastructure,Социальная инфраструктура,adult_medical_facilities_accessibility,Доступность медицинских учреждений для взрослых,72.440000
"""Мосрентген""",Новомосковский,8,commercial_household,Коммерческая и бытовая инфраструктура,essential_stores,Обеспеченность магазинами первой необходимости,94.650000
"""Мосрентген""",Новомосковский,8,commercial_household,Коммерческая и бытовая инфраструктура,household_infrastructure_accessibility,Доступность бытовой инфраструктуры,33.730000
"""Мосрентген""",Новомосковский,8,recreation_environment,Рекреация и экологическая комфортность,environmental_conditions,Экологическая обстановка,36.840000
"""Мосрентген""",Новомосковский,8,recreation_environment,Рекреация и экологическая комфортность,natural_recreation_potential,Природно-рекреационный потенциал,81.460000
"""Мосрентген""",Новомосковский,8,recreation_environment,Рекреация и экологическая комфортность,cultural_leisure_infrastructure,Культурно-досуговая инфраструктура,48.390000
"""Мосрентген""",Новомосковский,8,safety_economic_stability,Безопасность и экономическая стабильность района,emergency_services,Доступность экстренных служб,96.520000
"""Мосрентген""",Новомосковский,8,safety_economic_stability,Безопасность и экономическая стабильность района,district_economy,Экономическая среда района,
"""Мосрентген""",Новомосковский,9,transport_accessibility,Транспортная доступность,public_transport_accessibility,Доступность общественного транспорта,88.750000
"""Мосрентген""",Новомосковский,9,transport_accessibility,Транспортная доступность,personal_vehicle_accessibility,Доступность для личного транспорта,82.170000
"""Мосрентген""",Новомосковский,9,social_infrastructure,Социальная инфраструктура,child_social_infrastructure,Детская социальная инфраструктура,63.840000
"""Мосрентген""",Новомосковский,9,social_infrastructure,Социальная инфраструктура,government_institutions_accessibility,Доступность государственных учреждений,74.900000
"""Мосрентген""",Новомосковский,9,social_infrastructure,Социальная инфраструктура,adult_medical_facilities_accessibility,Доступность медицинских учреждений для взрослых,79.710000
"""Мосрентген""",Новомосковский,9,commercial_household,Коммерческая и бытовая инфраструктура,essential_stores,Обеспеченность магазинами первой необходимости,87.870000
"""Мосрентген""",Новомосковский,9,commercial_household,Коммерческая и бытовая инфраструктура,household_infrastructure_accessibility,Доступность бытовой инфраструктуры,61.330000
"""Мосрентген""",Новомосковский,9,recreation_environment,Рекреация и экологическая комфортность,environmental_conditions,Экологическая обстановка,49.010000
"""Мосрентген""",Новомосковский,9,recreation_environment,Рекреация и экологическая комфортность,natural_recreation_potential,Природно-рекреационный потенциал,73.300000
"""Мосрентген""",Новомосковский,9,recreation_environment,Рекреация и экологическая комфортность,cultural_leisure_infrastructure,Культурно-досуговая инфраструктура,55.560000
"""Мосрентген""",Новомосковский,9,safety_economic_stability,Безопасность и экономическая стабильность района,emergency_services,Доступность экстренных служб,96.520000
"""Мосрентген""",Новомосковский,9,safety_economic_stability,Безопасность и экономическая стабильность района,district_economy,Экономическая среда района,
"""Мосрентген""",Новомосковский,10,transport_accessibility,Транспортная доступность,public_transport_accessibility,Доступность общественного транспорта,73.610000
"""Мосрентген""",Новомосковский,10,transport_accessibility,Транспортная доступность,personal_vehicle_accessibility,Доступность для личного транспорта,84.880000
"""Мосрентген""",Новомосковский,10,social_infrastructure,Социальная инфраструктура,child_social_infrastructure,Детская социальная инфраструктура,62.180000
"""Мосрентген""",Новомосковский,10,social_infrastructure,Социальная инфраструктура,government_institutions_accessibility,Доступность государственных учреждений,72.410000
"""Мосрентген""",Новомосковский,10,social_infrastructure,Социальная инфраструктура,adult_medical_facilities_accessibility,Доступность медицинских учреждений для взрослых,54.460000
"""Мосрентген""",Новомосковский,10,commercial_household,Коммерческая и бытовая инфраструктура,essential_stores,Обеспеченность магазинами первой необходимости,89.500000
"""Мосрентген""",Новомосковский,10,commercial_household,Коммерческая и бытовая инфраструктура,household_infrastructure_accessibility,Доступность бытовой инфраструктуры,31.420000
"""Мосрентген""",Новомосковский,10,recreation_environment,Рекреация и экологическая комфортность,environmental_conditions,Экологическая обстановка,41.570000
"""Мосрентген""",Новомосковский,10,recreation_environment,Рекреация и экологическая комфортность,natural_recreation_potential,Природно-рекреационный потенциал,71.150000
"""Мосрентген""",Новомосковский,10,recreation_environment,Рекреация и экологическая комфортность,cultural_leisure_infrastructure,Культурно-досуговая инфраструктура,45.400000
"""Мосрентген""",Новомосковский,10,safety_economic_stability,Безопасность и экономическая стабильность района,emergency_services,Доступность экстренных служб,93.220000
"""Мосрентген""",Новомосковский,10,safety_economic_stability,Безопасность и экономическая стабильность района,district_economy,Экономическая среда района,
"""Мосрентген""",Новомосковский,11,transport_accessibility,Транспортная доступность,public_transport_accessibility,Доступность общественного транспорта,86.070000
"""Мосрентген""",Новомосковский,11,transport_accessibility,Транспортная доступность,personal_vehicle_accessibility,Доступность для личного транспорта,84.830000
"""Мосрентген""",Новомосковский,11,social_infrastructure,Социальная инфраструктура,child_social_infrastructure,Детская социальная инфраструктура,71.130000
"""Мосрентген""",Новомосковский,11,social_infrastructure,Социальная инфраструктура,government_institutions_accessibility,Доступность государственных учреждений,79.300000
"""Мосрентген""",Новомосковский,11,social_infrastructure,Социальная инфраструктура,adult_medical_facilities_accessibility,Доступность медицинских учреждений для взрослых,75.370000
"""Мосрентген""",Новомосковский,11,commercial_household,Коммерческая и бытовая инфраструктура,essential_stores,Обеспеченность магазинами первой необходимости,100.000000
"""Мосрентген""",Новомосковский,11,commercial_household,Коммерческая и бытовая инфраструктура,household_infrastructure_accessibility,Доступность бытовой инфраструктуры,38.490000
"""Мосрентген""",Новомосковский,11,recreation_environment,Рекреация и экологическая комфортность,environmental_conditions,Экологическая обстановка,36.460000
"""Мосрентген""",Новомосковский,11,recreation_environment,Рекреация и экологическая комфортность,natural_recreation_potential,Природно-рекреационный потенциал,73.900000
"""Мосрентген""",Новомосковский,11,recreation_environment,Рекреация и экологическая комфортность,cultural_leisure_infrastructure,Культурно-досуговая инфраструктура,52.250000
"""Мосрентген""",Новомосковский,11,safety_economic_stability,Безопасность и экономическая стабильность района,emergency_services,Доступность экстренных служб,96.970000
"""Мосрентген""",Новомосковский,11,safety_economic_stability,Безопасность и экономическая стабильность района,district_economy,Экономическая среда района,
"""Мосрентген""",Новомосковский,12,transport_accessibility,Транспортная доступность,public_transport_accessibility,Доступность общественного транспорта,74.230000
"""Мосрентген""",Новомосковский,12,transport_accessibility,Транспортная доступность,personal_vehicle_accessibility,Доступность для личного транспорта,65.620000
"""Мосрентген""",Новомосковский,12,social_infrastructure,Социальная инфраструктура,child_social_infrastructure,Детская социальная инфраструктура,56.390000
"""Мосрентген""",Новомосковский,12,social_infrastructure,Социальная инфраструктура,government_institutions_accessibility,Доступность государственных учреждений,58.840000
